"Name","csuoee__Course_Code__c","hed__Course_ID__c","hed__Account__r.hed__School_Code__c","hed__Description__c","hed__Extended_Description__c","lms_hed__LMS_Reference_Code__c","csuoee__Short_Description__c"
"AGBB 2031: The Diagnostic Process","AGBB 2031","AGBB 2031","OEE","","<p>Explore critical concepts such as Integrated Pest Management as it applies to the landscape environment, the life cycle of trees, steps in the diagnostic process, and diagnostics of abiotic disorders.</p><p>Students who successfully complete this course will be able to:</p><ul><li>Describe the concept of Integrated Pest Management (IPM) in the landscape</li><li>Describe how tree care changes with stages in their life cycle</li><li>List steps in the diagnostic process</li></ul><p>Students receive access to the course for 1 year from the time of registration to complete the course.</p>","AGBB-2031","Explore critical concepts such as Integrated Pest Management as it applies to the landscape environment, the life cycle of trees, steps in the diagnostic process, and diagnostics of abiotic disorders."
"CFPD 100: Designing Your Online Course","CFPD 100","CFPD 100","OEE","","<p><i>Designing Your Online Course</i> is a two-week, sixteen hour, instructor facilitated, online course focusing on using best practices to design and build effective online courses. Topics discussed include student engagement, authentic assessment, diverse instructional materials, universal design, and Quality Matters &amp;#8482;. In addition to working on a course map, participants will build a module of their course according to a nationally accepted set of standards for course quality. Please note, that while the course is asynchronous it is not self-paced, participants should expect to spend eight hours per week completing assignments with specific due dates.<br /><br />Upon successful completion of this course, participants will submit a course map with a completed course structure and one fully built module in Canvas. A digital badge will be awarded upon meeting completion requirements. While we are not offering an honorarium for this training in FA20, it is free and open to anyone within CSU.</p>","CFPD-100","<i>Designing Your Online Course</i> is a two-week, facilitated, online course focusing on using best practices to design and build effective online courses."
"EDLL 1000: Drone Pilot Workshop","EDLL 1000","EDLL 1000","OEE","","<p>This Drone Pilot micro-learning workshop is an informative session focusing on current drone regulations, commercial drone uses, and the future of drone development. The course is an hour long and is aimed at anyone who wants to learn about drones or get information on getting into the field of sUAS aviation.</p>","EDLL-1000","This Drone Pilot micro-learning workshop is an informative session focusing on current drone regulations, commercial drone uses, and the future of drone development. The course is an hour long and is aimed at anyone who wants to learn about drones or get information on getting into the field of sUAS aviation."
"ASBB 1001: Introduction to Automotive Service","ASBB 1001","ASBB 1001","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br /><br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.</p><p>Introduction to Automotive Service (ASBB 1001) prepares the incoming automotive student to work in the shop safely and gain familiarity with the shop and common equipment.</p>","ASBB-1001","Introduction to Automotive Service (ASBB 1001) prepares the incoming automotive student to work in the shop safely and gain familiarity with the shop and common equipment."
"BSLL 1001: VMI 2021","BSLL 1001","BSLL 1001","OEE","","<p>VMI 2021</p>","BSLL-1001","VMI 2021"
"EGEU 1001: USACE Special Projects Session","EGEU 1001","EGEU 1001","OEE","","<p>May 2021 USSD Conference: USACE Special Projects Session</p>","EGEU-1001","May 2021 USSD Conference: USACE Special Projects Session"
"HSLL 1001: Introduction to Food Safety","HSLL 1001","HSLL 1001","OEE","","<p>The first course in this program is focused on all aspects of food safety. Students will learn about the Food Safety Modernization Act (FSMA), the USDA Food Safety and Inspection Service (FSIS), as well as other laws pertaining to food safety. Students will gain valuable insight into the different types of organisms that cause foodborne illness and how food can produce can become contaminated. Finally, students will learn what a food safety plan is, how to form one, and then implement it in the workplace.</p>","HSLL-1001","The first course in this program is focused on all aspects of food safety."
"ASBB 1002: Brakes","ASBB 1002","ASBB 1002","OEE","","<p>This course is part of the Automotive Services Digital Mastery Badge developed in partnership with Emily Griffith Technical College (EGTC). The program is designed to recognize prior learning experience gained while working in the military or automotive field, providing a unique and innovative opportunity for veterans and experienced workers to use their practical knowledge to test and earn a badge for each course.<br />Each course is equivalent to a course at EGTC. A student who completes all seven courses in the program will earn a digital mastery badge from Colorado State University, and will become eligible to skip the introductory courses of the Emily Griffith Technical College automotive service certificate program. This allows students to fast-track through the EGTC program, graduate with a certificate and find employment faster.<br />Brakes (ASBB 1002) covers basic operation of automotive braking systems. Includes operation, diagnosis, and basic repair of disc brakes, drum brakes, and basic hydraulic systems.</p>","ASBB-1002","Brakes (ASBB 1002) covers basic operation of automotive braking systems. Includes operation, diagnosis, and basic repair of disc brakes, drum brakes, and basic hydraulic systems."
"EGEU 1002: COPSSEM - Resiliency/Life Cycle Session","EGEU 1002","EGEU 1002","OEE","","<p>May 2021 USSD Conference: COPSSEM - Resiliency/Life Cycle Session</p>","EGEU-1002","May 2021 USSD Conference: COPSSEM - Resiliency/Life Cycle Session"
"HSLL 1002: Food Safety Operations","HSLL 1002","HSLL 1002","OEE","","<p>Students will learn about the operations in the food safety business, including how to develop a Standard Operating Procedure (SOP). Students will learn about the importance of personal hygiene in food manufacturing facilities, as well as the sanitary design of food equipment and facilities. This also includes quality assurance around programs and management in the food industry.</p>","HSLL-1002","Students will learn about the operations in the food safety business, including how to develop a Standard Operating Procedure (SOP). Students will learn about the importance of personal hygiene in food manufacturing facilities, as well as the sanitary design of food equipment and facilities. This also includes quality assurance around programs and management in the food industry."
