"Name","hed__Capacity__c","hed__Course__r.lms_hed__LMS_Reference_Code__c","csuoee__Is_Available_for_Registration__c","lms_hed__LMS_Reference_Code__c","csuoee__Minimum_Seats_Required__c","csuoee__Registration_Start_Date__c","csuoee__Registration_End_Date__c","hed__Section_ID__c","hed__Term__r.lms_hed__LMS_Reference_Code__c","hed__Start_Date__c","hed__End_Date__c"
"AGBB 2031 200","300.0","AGBB-2031","false","2023SP-AGBB-2031-200","0.0","2023-01-03","2023-04-30","200","2023SP-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2023FA-AGBB-2031-200","0.0","2023-09-04","2023-12-31","200","2023FA-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2022SM-AGBB-2031-200","0.0","2022-05-02","2022-09-04","200","2022SM-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2022FA-AGBB-2031-200","0.0","2022-09-06","2023-01-02","200","2022FA-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2025SP-AGBB-2031-200","0.0","2025-01-03","2025-04-30","200","2025SP-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2024SP-AGBB-2031-200","0.0","2024-01-03","2024-04-30","200","2024SP-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","true","2024FA-AGBB-2031-200","0.0","2024-09-03","2024-12-31","200","2024FA-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2024SM-AGBB-2031-200","0.0","2024-05-01","2024-08-31","200","2024SM-NCT","",""
"AGBB 2031 200","100.0","AGBB-2031","false","2021FA-AGBB-2031-200","0.0","2021-09-01","2021-12-31","200","2021FA-NCT","",""
"AGBB 2031 200","100.0","AGBB-2031","false","2022SP-AGBB-2031-200","0.0","2022-01-03","2022-04-30","200","2022SP-NCT","",""
"AGBB 2031 200","300.0","AGBB-2031","false","2023SM-AGBB-2031-200","0.0","2023-05-01","2023-09-03","200","2023SM-NCT","",""
"CFPD 100 201","40.0","CFPD-100","false","2021FA-CFPD-100-201","0.0","","","201","2021FA-NCT","",""
"CFPD 100 202","40.0","CFPD-100","false","2021FA-CFPD-100-202","0.0","","","202","2021FA-NCT","",""
"CFPD 100 203","40.0","CFPD-100","false","2021FA-CFPD-100-203","0.0","","","203","2021FA-NCT","",""
"CFPD 100 204","40.0","CFPD-100","false","2021FA-CFPD-100-204","0.0","","","204","2021FA-NCT","",""
"CFPD 100 205","40.0","CFPD-100","false","2021FA-CFPD-100-205","0.0","","","205","2021FA-NCT","",""
"CFPD 100 206","40.0","CFPD-100","false","2021FA-CFPD-100-206","0.0","","","206","2021FA-NCT","",""
"CFPD 100 207","40.0","CFPD-100","false","2021FA-CFPD-100-207","0.0","","","207","2021FA-NCT","",""
"CFPD 100 208","40.0","CFPD-100","false","2021FA-CFPD-100-208","0.0","","","208","2021FA-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2024SM-HSLL-1001-200","0.0","2024-05-01","2024-08-31","200","2024SM-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2023SP-HSLL-1001-200","0.0","2023-01-03","2023-04-30","200","2023SP-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2023SM-HSLL-1001-200","0.0","2023-05-01","2023-09-03","200","2023SM-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2023FA-HSLL-1001-200","0.0","2023-09-04","2023-12-31","200","2023FA-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2021FA-HSLL-1001-200","0.0","2021-09-01","2021-12-31","200","2021FA-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2022SP-HSLL-1001-200","0.0","2022-01-03","2022-04-30","200","2022SP-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2022SM-HSLL-1001-200","0.0","2022-05-02","2022-09-05","200","2022SM-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2022FA-HSLL-1001-200","0.0","2022-09-06","2023-01-02","200","2022FA-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2024SP-HSLL-1001-200","0.0","2024-01-03","2024-04-30","200","2024SP-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","false","2025SP-HSLL-1001-200","0.0","2025-01-03","2025-04-30","200","2025SP-NCT","",""
"HSLL 1001 200","100.0","HSLL-1001","true","2024FA-HSLL-1001-200","0.0","2024-08-01","2024-12-31","200","2024FA-NCT","",""
