"hed__Account__r.hed__School_Code__c","Name","csuoee__Is_Visible__c","lms_hed__LMS_Reference_Code__c","csuoee__Programming_Active__c","csuoee__CPS_ID__c","csuoee__Display_Order__c"
"OEE","Spring 2023","false","2023SP-NCT","true","22.0","22.0"
"OEE","Fall 2021","true","2021FA-NCT","true","18.0","18.0"
"OEE","Spring 2022","true","2022SP-NCT","true","19.0","19.0"
"OEE","Summer 2022","true","2022SM-NCT","true","20.0","20.0"
"OEE","Fall 2022","false","2022FA-NCT","true","21.0","21.0"
"OEE","Summer 2023","false","2023SM-NCT","true","23.0","23.0"
"OEE","Fall 2023","false","2023FA-NCT","true","24.0","24.0"
"OEE","Spring 2024","false","2024SP-NCT","true","25.0","25.0"
"OEE","Summer 2024","true","2024SM-NCT","true","26.0","26.0"
"OEE","Fall 2024","true","2024FA-NCT","true","27.0","27.0"
"OEE","Spring 2025","true","2025SP-NCT","true","28.0","28.0"
