"hed__School_Code__c","hed__Primary_Contact__c"
"learn.colostate.edu.1123268",""
"learn.colostate.edu.1123254",""
"learn.colostate.edu.1123239",""
"learn.colostate.edu.1123243",""
"learn.colostate.edu.1123275",""
"learn.colostate.edu.1123252",""
"learn.colostate.edu.1123260",""
"learn.colostate.edu.1123309",""
"learn.colostate.edu.1123269",""
"learn.colostate.edu.1123264",""
"learn.colostate.edu.1123279","0036g00000pT2AbAAK"
"learn.colostate.edu.1123283","003Qm000008a7G6IAI"
"learn.colostate.edu.1123284",""
"learn.colostate.edu.1123265","003Qm000008hHtsIAE"
"learn.colostate.edu.1123285","003Qm000007aJPwIAM"
"learn.colostate.edu.1123272",""
"learn.colostate.edu.1123297",""
"learn.colostate.edu.1123287",""
"learn.colostate.edu.1123289",""
"learn.colostate.edu.1123291","003Qm000008hQ19IAE"
"learn.colostate.edu.1123305","003Qm000008hGGNIA2"
"learn.colostate.edu.1123306",""
"learn.colostate.edu.1123300",""
"learn.colostate.edu.1123313",""
"learn.colostate.edu.1123303",""
"learn.colostate.edu.1123320","003Qm000007O9kRIAS"
"learn.colostate.edu.1123326",""
"learn.colostate.edu.1123328",""
"learn.colostate.edu.1123331",""
"learn.colostate.edu.1123336",""
"learn.colostate.edu.1123335",""
"learn.colostate.edu.1123341",""
"learn.colostate.edu.1123345","003Qm000004S2W2IAK"
"learn.colostate.edu.1123337",""
"learn.colostate.edu.1123358",""
"learn.colostate.edu.1123349","003Qm000004dO6eIAE"
"learn.colostate.edu.1123346",""
"learn.colostate.edu.1123360","003Qm000007qOobIAE"
"learn.colostate.edu.1123357",""
"learn.colostate.edu.1123354","003Qm000004TjaXIAS"
"learn.colostate.edu.1123379",""
"learn.colostate.edu.1123361",""
"learn.colostate.edu.1123363",""
"learn.colostate.edu.1123372","003Qm000002lUmiIAE"
"learn.colostate.edu.1123392",""
"learn.colostate.edu.1123380",""
"learn.colostate.edu.1123384",""
"learn.colostate.edu.1123381",""
"learn.colostate.edu.1123409",""
"learn.colostate.edu.1123388",""
"learn.colostate.edu.1123417",""
"learn.colostate.edu.1123390","003Qm000008jF3AIAU"
"learn.colostate.edu.1123397","003Qm000006QtewIAC"
"learn.colostate.edu.1123401",""
"learn.colostate.edu.1123424",""
"learn.colostate.edu.1123418",""
"learn.colostate.edu.1123423",""
"learn.colostate.edu.1123411",""
"learn.colostate.edu.1093227",""
"learn.colostate.edu.1123427",""
"learn.colostate.edu.1123425",""
"learn.colostate.edu.1123430",""
"learn.colostate.edu.1123433","003Qm000008guSlIAI"
"learn.colostate.edu.1123431",""
"learn.colostate.edu.1123438","0035b00003kkVddAAE"
"learn.colostate.edu.1123436","003Qm000008GkqHIAS"
"learn.colostate.edu.1123445",""
"learn.colostate.edu.1123441",""
"learn.colostate.edu.1123443",""
"learn.colostate.edu.1123447",""
"learn.colostate.edu.1123448",""
"learn.colostate.edu.1123450",""
"learn.colostate.edu.1123453",""
"learn.colostate.edu.1123454",""
"learn.colostate.edu.1123455",""
"learn.colostate.edu.1123459",""
"learn.colostate.edu.1123468",""
"learn.colostate.edu.1123463",""
"learn.colostate.edu.1123485","0036g00000pT3LQAA0"
"learn.colostate.edu.1123472",""
"learn.colostate.edu.1123464","003Qm000008GGyyIAG"
"learn.colostate.edu.1123465","003Qm000004NgsJIAS"
"learn.colostate.edu.1123473",""
"learn.colostate.edu.1123480",""
"learn.colostate.edu.1123491",""
"learn.colostate.edu.1123488",""
"learn.colostate.edu.1123487",""
"learn.colostate.edu.1123493",""
"learn.colostate.edu.1123504","0036g00001gmLFXAA2"
"learn.colostate.edu.1123501",""
"learn.colostate.edu.1123497",""
"learn.colostate.edu.1123503",""
"learn.colostate.edu.1123515",""
"learn.colostate.edu.1123513",""
"learn.colostate.edu.1123511",""
"learn.colostate.edu.1123517",""
"learn.colostate.edu.1123514",""
"learn.colostate.edu.1123528",""
"learn.colostate.edu.1123520",""
"learn.colostate.edu.1123526",""
"learn.colostate.edu.1123525",""
"learn.colostate.edu.1123519","003Qm000006TON8IAO"
"learn.colostate.edu.1123521",""
"learn.colostate.edu.1123535",""
"learn.colostate.edu.1123524",""
"learn.colostate.edu.1123531",""
"learn.colostate.edu.1088789",""
"learn.colostate.edu.1123534",""
"learn.colostate.edu.1123536",""
"learn.colostate.edu.1123538",""
"learn.colostate.edu.1123556",""
"learn.colostate.edu.1123537",""
"learn.colostate.edu.1123539","003Qm000008gGLXIA2"
"learn.colostate.edu.1123545",""
"learn.colostate.edu.1123544",""
"learn.colostate.edu.1123569",""
"learn.colostate.edu.1123560",""
"learn.colostate.edu.1123572",""
"learn.colostate.edu.1089981","0035b00003khuK3AAI"
"learn.colostate.edu.1123582",""
"learn.colostate.edu.1123587",""
"learn.colostate.edu.1123593",""
"learn.colostate.edu.1093614",""
"learn.colostate.edu.1123594",""
"learn.colostate.edu.1123604",""
"learn.colostate.edu.1123599",""
"learn.colostate.edu.1123613",""
"learn.colostate.edu.1123610","0036g00000pT3JAAA0"
"learn.colostate.edu.1123611","003Qm000005jurEIAQ"
"learn.colostate.edu.1123616",""
"learn.colostate.edu.1123623",""
"learn.colostate.edu.1123631",""
"learn.colostate.edu.1123620","003Qm000008nj5pIAA"
"learn.colostate.edu.1123635",""
"learn.colostate.edu.1123642",""
"learn.colostate.edu.1123645",""
"learn.colostate.edu.1123641",""
"learn.colostate.edu.1123649",""
"learn.colostate.edu.1123648",""
"learn.colostate.edu.1123655","003Qm000004mnfNIAQ"
"learn.colostate.edu.1123664","003Qm000008oP6fIAE"
"learn.colostate.edu.1123654","003Qm000008h3e5IAA"
"learn.colostate.edu.1123658",""
"learn.colostate.edu.1123668",""
"learn.colostate.edu.1123660",""
"learn.colostate.edu.1123670",""
"learn.colostate.edu.1123665",""
"learn.colostate.edu.1123669","003Qm000008oWUkIAM"
"learn.colostate.edu.1123674","003Qm000008oSCeIAM"
"learn.colostate.edu.1123677","003Qm000008HzybIAC"
"learn.colostate.edu.1123678",""
"learn.colostate.edu.1123679","003Qm000008fdYnIAI"
"learn.colostate.edu.1123686","003Qm000008fWCPIA2"
"learn.colostate.edu.1123685",""
"learn.colostate.edu.1123691",""
"learn.colostate.edu.1123680",""
"learn.colostate.edu.1123700",""
"learn.colostate.edu.1123692",""
"learn.colostate.edu.1123693",""
"learn.colostate.edu.1123701","003Qm000008otvyIAA"
"learn.colostate.edu.1123703",""
"learn.colostate.edu.1123704",""
"learn.colostate.edu.1123707",""
"learn.colostate.edu.1123715","0035b00002nI5qwAAC"
"learn.colostate.edu.1123716","003Qm000005mVY6IAM"
"learn.colostate.edu.1123717",""
"learn.colostate.edu.1123719",""
"learn.colostate.edu.1123721",""
"learn.colostate.edu.1123728",""
"learn.colostate.edu.1123726",""
"learn.colostate.edu.1123741",""
"learn.colostate.edu.1123732",""
"learn.colostate.edu.1123742","003Qm000005TlsvIAC"
"learn.colostate.edu.1123736",""
"learn.colostate.edu.1123735",""
"learn.colostate.edu.1123759","003Qm000005yYDeIAM"
"learn.colostate.edu.1123753",""
"learn.colostate.edu.1123754",""
"learn.colostate.edu.1123758",""
"learn.colostate.edu.1123763",""
"learn.colostate.edu.1123760",""
"learn.colostate.edu.1123771",""
"learn.colostate.edu.1123768",""
"learn.colostate.edu.1123769",""
"learn.colostate.edu.1123773","003Qm000008qtrrIAA"
"learn.colostate.edu.1123774",""
"learn.colostate.edu.1123772",""
"learn.colostate.edu.1123777",""
"learn.colostate.edu.1093734","0035b00003dRRpIAAW"
"learn.colostate.edu.1123784",""
"learn.colostate.edu.1123785","003Qm000006VYBsIAO"
